ORIGINAL LABEL,OTT TAXON NAME,OTT TAXON ID,TAXONOMIC SOURCES
Astatotilapia calliptera,Astatotilapia calliptera,710017,ncbi:8154;gbif:2371453;irmng:11264060
Halichoeres trimaculatus,Halichoeres trimaculatus,942026,ncbi:147232;worms:275804;gbif:2384128;irmng:10157861
Labeo rohita,Labeo rohita,160616,ncbi:84645;gbif:5206083;irmng:11108471
Esox lucius,Esox lucius,739941,ncbi:8010;worms:154210;gbif:2346633;irmng:10148501
Perca flavescens,Perca flavescens,186474,ncbi:8167;worms:275313;gbif:2382004;irmng:10577782
Amphiprion ocellaris,Amphiprion ocellaris,674643,ncbi:80972;worms:278400;gbif:5212106;irmng:10875659
Micropterus salmoides,Micropterus salmoides,230493,ncbi:27706;worms:151295;irmng:10152713
Sparus aurata,Sparus aurata,760723,ncbi:8175;worms:151523;gbif:2392508;irmng:10166646
Ctenopharyngodon idella,Ctenopharyngodon idella,1005936,ncbi:7959;worms:154314;gbif:2362030;irmng:10570174
Alosa alosa,Alosa alosa,994167,ncbi:278164;worms:126413;gbif:2412685;irmng:10526032;irmng:10145179
Paramormyrops kingsleyae,Paramormyrops kingsleyae,902048,ncbi:1676925;gbif:5788000;irmng:10142891
Leuresthes tenuis,Leuresthes tenuis,274466,ncbi:355514;worms:281344;gbif:2412217;irmng:10575887
Myripristis murdjan,Myripristis murdjan,385708,ncbi:586833;worms:217925;gbif:2356993;irmng:10576683
Thunnus albacares,Thunnus albacares,833188,ncbi:8236;worms:127027;gbif:2374013;irmng:11169708
Sardina pilchardus,Sardina pilchardus,1027727,ncbi:27697;worms:126421;gbif:2413224;irmng:11414658
Thunnus thynnus,Thunnus thynnus,833184,ncbi:8237;worms:127029;gbif:2373980;irmng:10152641
Micropterus dolomieu,Micropterus dolomieu,235372,ncbi:147949;worms:151296;irmng:10837257
Onychostoma macrolepis,Onychostoma macrolepis,310596,ncbi:369639;gbif:2365941;irmng:10940578
Thunnus maccoyii,Thunnus maccoyii,358610,ncbi:8240;worms:219720;gbif:2373941;irmng:11278636
Clarias gariepinus,Clarias gariepinus,240811,ncbi:13013;worms:888192;gbif:5202793;irmng:11239527
Pagrus major,Pagrus major,765344,ncbi:143350;worms:273976;gbif:5210935;irmng:10770246
Plectropomus leopardus,Plectropomus leopardus,585591,ncbi:160734;worms:218261;gbif:5210114;irmng:11351495
Salarias fasciatus,Salarias fasciatus,938557,ncbi:181472;worms:219340;gbif:2396090;irmng:10155298
Carassius carassius,Carassius carassius,1010092,ncbi:217509;worms:154297;gbif:2366645;irmng:10153223
Dunckerocampus dactyliophorus,Dunckerocampus dactyliophorus,971446,ncbi:161453;worms:218005;gbif:2332776;irmng:10890560
Xiphophorus hellerii,Xiphophorus hellerii,312435,ncbi:8084;worms:283197;gbif:8246728;irmng:10888650
Semicossyphus pulcher,Semicossyphus pulcher,98446,ncbi:241346;worms:282753;gbif:2384402;irmng:10148887
Syngnathoides biaculeatus,Syngnathoides biaculeatus,763321,ncbi:300417;worms:218035;gbif:2333300;irmng:10914539
Xiphophorus maculatus,Xiphophorus maculatus,416852,ncbi:8083;worms:862549;gbif:2350164;irmng:11113312
Labrus bergylta,Labrus bergylta,292710,ncbi:56723;worms:126965;gbif:2383624;irmng:10148336
Oryzias latipes,Oryzias latipes,942673,ncbi:8090;worms:281941;gbif:2368377;irmng:11177209
Scomber scombrus,Scomber scombrus,70561,ncbi:13677;worms:127023;gbif:2374149;irmng:11378641
Scleropages formosus,Scleropages formosus,335717,ncbi:113540;gbif:2402231;irmng:10151574;irmng:10151575;irmng:10151573;irmng:10762130
Phyllopteryx taeniolatus,Phyllopteryx taeniolatus,495940,ncbi:161469;worms:282254;irmng:11079952
Acanthopagrus latus,Acanthopagrus latus,760733,ncbi:8177;worms:218587;gbif:2392281;gbif:8168785;irmng:10150532;irmng:11360474
Carassius gibelio,Carassius gibelio,14765,ncbi:101364;worms:234033;gbif:2360842;gbif:2366634;irmng:10140005
Xiphophorus couchianus,Xiphophorus couchianus,1026718,ncbi:32473;gbif:2350197;irmng:10758782
Etheostoma spectabile,Etheostoma spectabile,150573,ncbi:54343;worms:954587;gbif:2382332;irmng:10157082
Ictalurus furcatus,Ictalurus furcatus,362799,ncbi:66913;worms:275329;gbif:5202525;irmng:10152147
